document_id,clean_text,sentiment
1,another letdown conjuring universe wouldve guessed apparently creepy looking villainous characters isnt enough make strong horror movie nun creepy looking character theres doubt films seem know use properlythe funny thing films minor character danger instant death major character movie seemingly nun wants jump scare makes sense really deflates tension movieif youre fan jumpscares theres good news youre likely going good time one movie riddled well done others much problem horror movies based entirely around jumpscares instantly forgettable maybe remember one jump scare especially well done certainly never remember film wholeand think thats biggest problem nothing new unique film nothing still thinking week even hours another forgettable experience drain,Neutral
2,given nun nothing polishedlooking series loud noises nonsensical happenings looking forward sequeland even though nun ii share cheap scares unintentionally funny moments shocked much better first filmflashes greatness seen heremore often directed considerable skill far restraint first movie quieter patient first fleshing characters things get insane third actas character dynamics theyre actually interesting time around dialogue sometimes cheesy theres sincerity humans story gives gripping quality films perilous momentstheres certainly quite bit bad found actually liked didnt hopefully movies get back good,Neutral
3,sister irene nun back anticipated sequel conjuring universe watching know give stop making unnecessary sequels something really put things different level taissa farmiga sister irene felt important less useless something felt previous nun movie doesnt mean made movie better didnt make better tell pros made movie disappointment stop nun find wanted going stop got clues clues good thing movie clues greatly detailed unexpected sometimes also made interesting ideas jumpscare made interesting creative way beside movie overall boring missed suspense adrenaline example previous one also many scenes felt fill time make movie longer characters backstories suddenly appeared time time later never really explained last act much devils came gone much mess action either entertaining interesting way nun ii many devils nun appear times wondered could better changed title example tales nun could much better could understand idea better point view called nun ii sake sequel reputation god disappointing probably one boring movies year seen far summary totally waste time missed entertainment suspense many details could fixed liked first one dont know watch one high expectations well every movie good showing trailers unfortunately safely say trailer much better movie,Neutral
4,demons live dark evil work abbeys churches would seem churches holy places time probably something wrong modern holy churcheseven senior priests characters repulsive soulless deliberately strict dubious parallels dont think subsequent destruction teenage characters doesnt seem like good idea scary appearance demon nun completely unimpressive despite excellent performance actress everything predictable conflicts formulaic takes effort watch tall tale dont titanic opportunities,Neutral
5,opinion character nun aka valak best portrayed movie conjuring didnt like first solo movie atmosphere wasnt bad didnt like anyway didnt like second movie either could better terms atmosphere wasnt good first movie plot movie poor ara lots horror movie clichs many jumpscare scenes thought fashion nowadays used much movie spoils viewing pleasure scenes liked much even though jumpscare scene liked goat scene acting good course weak script btw bonnie aarons great,Neutral
6,dedication horror genre leads seeing lot films cinema fully expect rubbish like nun ii little real interest watching since couldnt remember much first one fact didnt like long time film bland generic imagined would director michael chaves taking matters far seriously dreary pace gloomy cinematography religious horror clichs cram inthen give hope entertained chaves seems remember hey horror films fun introduction demonic goat satan film really picks action excitement wellcrafted scares think actually jumped couple times probably extremely loud noises accompany jumpy bits liveliness earlier parts film nun ii could really good instead okaymy rating,Neutral
7,think need shift perspective nun movies supposed conjuring films great full scares great writing annabelle also pretty freaky nun feels like indiana jones disneyworld ride madeforamusementpark action props themes time go expecting freaked greatest evil conjuring universe walk away feeling like went haunted house six flags nun ii scary barely interesting quite honestly boring times conjuring universe love lets send nun back hell good,Positive
8,movie much hype disappointing cliche jump scares fast forward year actually decent little horror flick thats much better first theres little back story explains even going first movie spoilers found third act actually scary kept attentionthis time around better make effects fans gore thankfully gory either sake gross actually kinda scary movie opens murder mystery audience thinks got stuff figured big payoff like wow one rare horror movies thats actually scary jump start horror season sit back two hours good time scared,Neutral
9,divine disappointment falls miserably short delivering spinetingling experience promises horrible story laughably predictable plot film stumbles realm disappointment even devout horror enthusiasts overlookthe glaring issue divine disappointment inability evoke genuine horror despite promise demons supernatural elements film fails deliver real chills thrills supposedly terrifying demons like caricatures antics scary childrens halloween costumeadding litany issues films predictability moment opening credits roll painfully obvious story heading twists surprises keep audience engaged leaving sense unfulfilled anticipationone absurd elements movie notion combat demons wine provided believe absurdity stretches boundaries believability also adds unintentional comedic element film desperately needed dose genuine horrorthe central plot point nun residing someone elses body traveling across europe becomes another element contributing films overall failure film lacks depth fails explore concept meaningful wayin end divine disappointment film falls flat fronts horror movie without horror plot without substance story leaves wishing spent time elsewhere save agony skip one far better horror films spend time,Neutral
10,actually quite looking forward one wasnt expecting much original since sequels prequels spinoffs often times par predecessors however quite pleasantly surprised first nun still think wildly underrated horror viewing one must say pretty disappointed bad film means live quality first one really landed mediocre placeit quick start didnt waste time throwing us action yet even stopped thought well couldve cooler sentiment persisted throughout majority film gave us fun creepiness proceeded move snails pace quite time felt like minutes got semblance real story line something particularly intriguing really felt like going motions outline horror movie following map similar chain events originalit secret franchise loves jump scare first one full however also balanced genuinely creepy cool effects general effective spook factor one bit mostly riddled cheap unnecessary superfluous jump scares even kills still entertaining pretty basic time also effective imagery especially third act gnarly effects pretty awesome stunts stuck outi think biggest issue first one felt deliberate purposeful many ways felt planned detailed whereas one felt like thrown together bare minimum could get away far storyline went bad film nowhere near quality first one would recommend vehementlyalso whats fake reviews weird lolig howlingatthemoonreviews,Positive
